ID,P1,R1,G1,B1,P2,R2,G2,B2,P3,R3,G3,B3,P4,R4,G4,B4,P5,R5,G5,B5
Anampses_chrysocephalus_f,0.60239728069652332,18.192774423440007,18.834187864845205,16.54726318915235,0.13644224461804519,75.547946405107055,79.791137577705143,65.992381119181616,0.13018069055996184,239.14132821076649,242.49533479691885,229.55790340283926,0.08230663724730157,149.30034772530382,156.71327151550247,135.33874239351863,0.048673146878168046,151.05172836478741,63.074528070615386,29.522431968619799
Anampses_cuvier,0.40549338347536873,35.808046836082283,26.358893871356628,28.135700049824454,0.24295635823249326,92.277222777232311,62.40755078248462,59.703463203466967,0.18354411184908864,194.12771933688322,89.865947017655657,58.01498044832735,0.092540361305714774,132.00961643537062,135.87433067424479,158.23155939240758,0.075465785137334582,228.38149590437467,234.87350610984458,237.09816033300456
Cirrhilabrus_adornatus_m,0.35197051491841136,248.81735993395628,225.24031816403701,238.29677924103964,0.23415253330070807,222.4745518775706,176.92895459897179,187.06201753234504,0.21690192540029668,213.72009586244133,125.52005357016118,116.19144287024181,0.14979583722032758,211.50702218604667,53.320578058204347,25.124669244862542,0.047179189160256312,77.261758027893364,79.23289004216042,70.420694129095494
Cirrhilabrus_exquisitus_m,0.27831257591414221,29.079604578564197,61.166948491145234,58.535054630587013,0.230579576149816,211.57961883761865,203.13876200976736,197.66262403526514,0.20699407189862404,165.47306647983817,155.83436979943374,138.02443724270984,0.17465238121136309,93.009138110073593,101.50415368641819,95.089927310491191,0.10946139482605464,182.53261589405534,72.310927152332084,75.487582781451067
Cirrhilabrus_laboutei_m,0.34442088030658186,195.0977059098405,88.468397738334758,93.14607267618797,0.19958824769629546,111.47202188511928,84.375093260394991,105.86924894302699,0.16797509642693256,160.72024558032751,121.73393002442113,173.39433390044087,0.14561396981309918,50.921173469385302,51.212840136066461,66.527891156464051,0.14240180575709094,216.58899226158019,174.89940005217804,151.52769324405153
Cirrhilabrus_lineatus_m,0.27838906868033081,184.34837918123338,135.2573292005934,104.15342890351168,0.25133045667026249,128.57935483873854,145.02508960575909,186.90007168457862,0.19138798993167924,61.610411576764378,125.96682954333906,202.18342416837112,0.16402373247033442,85.313954759041906,93.870505955655119,107.80122390994266,0.11486875224739303,201.19533573331393,183.19220535295321,175.93911410234921
Cirrhilabrus_luteovittatus_m,0.32087744482325498,76.938696604102475,22.508268505090541,34.646620394094924,0.18582152042586278,209.97946033023879,163.98429319371601,154.47209021345924,0.17161612536634965,148.09974670276659,92.798322997630876,86.044458031274758,0.16876009330701597,66.172633253770371,85.990718642255928,78.715902059583499,0.1529248160775166,86.950542468963278,129.62652722119782,180.5570325481462
Cirrhilabrus_marjorie,0.3138226859177215,194.12671300107957,167.1143047865981,161.17599246082153,0.28351216376582278,201.92201274325021,27.400017456608765,15.291262983321875,0.19695658623417722,165.48184506955477,119.52683909133032,114.85016676105027,0.12628560126582278,209.9227001077881,122.03703340845523,55.510140099927611,0.079422962816455694,95.484805984106856,34.38678510209013,34.055789309646457
Cirrhilabrus_naokoe,0.36877388214788498,209.04884482441653,43.353101691893272,48.266736401690608,0.19965475631829457,61.650490319329315,25.459894392749248,40.139971502805594,0.17459945029161358,246.71320211230838,210.09515122419546,32.828900624097507,0.15648253670309042,191.84178433887121,225.00406504064992,224.37943945225953,0.10048937453911644,106.28984296692759,145.61159371867419,165.64483795524566
Cirrhilabrus_roseafascia,0.28905667081186709,237.46746036637174,176.65258158041101,214.46548639816538,0.2277669213004086,237.36939375189704,135.56619239096102,185.64808227654322,0.21852904601172499,245.51057030478239,229.29473942969642,235.91093084238062,0.16786285308225263,225.13492984490526,86.549636037535521,105.12047684355585,0.096784508793746671,192.89000732064164,166.1628843338238,166.26281112738542
Cirrhilabrus_rubrimarginatus,0.28196208036180204,124.95235574380911,78.624227986624973,48.782380448193969,0.26292771413662003,57.114668440062303,53.567167015048142,35.721309139269124,0.23432646671470814,76.116907042835209,89.983945678514687,63.01694915252385,0.12318912605919041,209.98061389339404,56.600565428109348,35.001615508886147,0.097594612727679345,134.93895459747498,145.50235279156158,92.850820297580384
Coris_gaimard,0.65362076497793042,13.713906826568351,17.846863468496707,23.596263837645239,0.16531838929814255,47.154874499822277,61.753092033437724,73.989723535828617,0.064883023756797872,150.58286908078981,85.291550603531647,75.637186629530618,0.063602536870490056,50.776937618143478,136.47896975425613,210.7930056710658,0.052575285096639099,223.43127690101605,198.70989956958408,123.28350071736713
Epibulus_insidiator,0.35413894772695825,223.1840950090687,219.06241731810934,15.803457606732763,0.33354266676601135,169.97481349227508,202.49888414208371,25.750685455585703,0.16668618080022141,108.54011616772334,166.35590732113747,47.16920916576629,0.075264239108452452,201.79288851110209,135.65986683667839,30.572602351605312,0.070367965598356549,56.81597695922396,105.70698802487598,62.207821737150326
Labroides_dimidiatus,0.39528082089922173,10.378617615668755,11.991022662995221,18.330278109109088,0.17354880285530164,36.535245433796106,58.75014269405807,105.89355022831268,0.16750111535220344,162.07625240134126,174.09856657307967,191.24530811291172,0.16363456104694393,96.695836487512253,118.75352006056664,140.50991672976289,0.10003469984632925,54.550904136740989,125.6333911320333,223.10106514740096
Macropharyngodon_pakoko,0.31518613942720586,70.932268244567013,59.664102564051021,41.951834319525908,0.26032137211704814,37.238097509778896,87.344098845556488,84.917660528568362,0.17784996826108063,26.801472134595915,122.35380301438276,145.3709078163221,0.15758684639607681,121.32649992084073,118.55311065380135,103.71149279720699,0.089055673798588558,180.50406618058247,197.11203028603316,184.24425126190823
